2023-01-01 12:15:01.511864, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 12:30:01.540272, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 12:45:01.084025, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 13:00:02.786854, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 13:15:01.453082, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 13:30:02.380303, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 13:45:02.501906, B/S PRICE:16565.48, TYPE: sell, STOP: 16591.3, TARGET: 16514.620000000006
2023-01-01 14:00:01.010868, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2023-01-01 14:15:01.654733, B/S PRICE:16570.9, TYPE: trailling, STOP: 16555.51, TARGET: 16599.670000000002
2023-01-01 14:30:01.801298, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 14:45:01.357094, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 15:00:01.395291, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 15:15:02.272588, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 15:30:01.378135, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 15:45:02.387091, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 16:00:01.897212, B/S PRICE:16591.93, TYPE: sell, STOP: 16605.1, TARGET: 16563.85
2023-01-01 16:06:01.762595, B/S PRICE:16605.48, TYPE: STOP, STOP: 0, TARGET: 0
2023-01-01 16:15:01.345273, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 16:30:02.381271, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 16:45:01.062669, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 17:00:01.822966, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 17:15:01.827872, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 17:30:01.395900, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 17:45:01.488370, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 18:00:01.351436, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 18:15:01.517309, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 18:30:04.097585, B/S PRICE:16601.26, TYPE: buy, STOP: 16588.44, TARGET: 16628.52
2023-01-01 18:45:02.595596, B/S PRICE:16601.38, TYPE: trailling, STOP: 16612.52, TARGET: 16578.950000000004
2023-01-01 19:00:01.352983, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 19:15:02.779077, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 19:30:01.397950, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 19:45:02.961772, B/S PRICE:16599.66, TYPE: buy, STOP: 16585.24, TARGET: 16630.299999999992
2023-01-01 20:00:01.770496, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2023-01-01 20:15:01.553050, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2023-01-01 20:30:02.336985, B/S PRICE:16611.08, TYPE: trailling, STOP: 16628.97, TARGET: 16566.059999999998
2023-01-01 20:45:01.259065, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 21:00:01.234257, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 21:15:01.216262, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 21:30:01.678927, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 21:45:01.520103, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 22:00:01.422955, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 22:15:01.636004, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 22:30:00.914806, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 22:45:01.588177, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 23:00:01.043746, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 23:15:01.108861, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 23:30:01.105091, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 23:45:01.387195, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-02 08:29:46.769693, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-02 08:30:01.654795, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-02 08:45:01.419891, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
